source,smiles
D10542_protomer_2,CCc1cc2c(cc1N1CCC(N3CCOCC3)CC1)C(C)(C)c1[nH]c3cc(C#N)ccc3c1C2=O
D02769_protomer_1,Nc1ncnc2c1ncn2C1OC(COP(=O)([O-])[O-])C(O)C1O
D02769_protomer_2,Nc1ncnc2c1ncn2C1OC(COP(=O)(O)O)C(O)C1O
D07411_protomer_1,[N-]=[N+]=NCC(=O)NC(CO)C(O)c1ccc([N+](=O)[O-])cc1
D07606_protomer_2,CN(C)C(=O)COC(=O)Cc1ccc(OC(=O)c2ccc(N=C(N)N)cc2)cc1
D07606_protomer_1,CN(C)C(=O)COC(=O)Cc1ccc(OC(=O)c2ccc([NH+]=C(N)N)cc2)cc1
D08880_protomer_2,CC(C)CC(NC(=O)C(CCc1ccccc1)NC(=O)CN1CCOCC1)C(=O)NC(Cc1ccccc1)C(=O)NC(CC(C)C)C(=O)C1(C)CO1
D08880_protomer_1,CC(C)CC(NC(=O)C(CCc1ccccc1)NC(=O)C[NH+]1CCOCC1)C(=O)NC(Cc1ccccc1)C(=O)NC(CC(C)C)C(=O)C1(C)CO1
D08259_protomer_2,Cc1c([O-])cccc1C(=O)NC(CSc1ccccc1)C(O)C[NH+]1CC2CCCCC2CC1C(=O)NC(C)(C)C
D08259_protomer_1,Cc1c(O)cccc1C(=O)NC(CSc1ccccc1)C(O)C[NH+]1CC2CCCCC2CC1C(=O)NC(C)(C)C
D08259_protomer_3,Cc1c(O)cccc1C(=O)NC(CSc1ccccc1)C(O)CN1CC2CCCCC2CC1C(=O)NC(C)(C)C
D01099_protomer_1,CNC(=O)c1c(I)c(NC(=O)CCCCC(=O)Nc2c(I)c(C(=O)[O-])c(I)c(C(=O)NC)c2I)c(I)c(C(=O)[O-])c1I
D01099_protomer_2,CNC(=O)c1c(I)c(NC(=O)CCCCC(=O)Nc2c(I)c(C(=O)O)c(I)c(C(=O)NC)c2I)c(I)c(C(=O)O)c1I
D02125_protomer_1,CC[NH+](CC)CCCC(C)[NH2+]c1ccnc2cc(Cl)ccc12
D02125_protomer_2,CCN(CC)CCCC(C)Nc1ccnc2cc(Cl)ccc12
D02168_protomer_3,CCC1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3c(CN(C)C)c(O)ccc3nc2-1
D02168_protomer_1,CCC1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3c(C[NH+](C)C)c([O-])ccc3nc2-1
D02168_protomer_2,CCC1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3c(C[NH+](C)C)c(O)ccc3nc2-1
D11704_protomer_1,CCN(CC)c1ccc(C(=C2C=CC(=[N+](CC)CC)C=C2)c2cc(S(=O)(=O)[O-])ccc2S(=O)(=O)[O-])cc1
D00136_protomer_1,O=C(CCC[NH+]1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1
D00136_protomer_2,O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1
D00794_protomer_2,CN1CCN(C2=Nc3ccccc3Oc3ccc(Cl)cc32)CC1
D00794_protomer_1,C[NH+]1CCN(C2=[NH+]c3ccccc3Oc3ccc(Cl)cc32)CC1
D01295_protomer_2,C(=Cc1ccccc1)CN1CCN(C(c2ccccc2)c2ccccc2)CC1
D07195_protomer_1,C[NH+](C)CCN(Cc1ccc(Cl)cc1)c1ccccn1
D07195_protomer_2,CN(C)CCN(Cc1ccc(Cl)cc1)c1ccccn1
D00327_protomer_1,CC1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3(F)C(O)CC21C
D03115_protomer_2,O=S(=O)(c1cccc2cnccc12)N1CCCNCC1
D03770_protomer_1,CC(=O)Nc1c(I)c(NC(C)=O)c(I)c(C(=O)[O-])c1I
D01253_protomer_1,CN1C(=O)CC(=O)N(c2ccccc2)c2cc(Cl)ccc21
D03361_protomer_1,CSCCNc1nc(SCCC(F)(F)F)nc2c1ncn2C1OC(COP(=O)(O)OP(=O)(O)C(Cl)(Cl)P(=O)([O-])O)C(O)C1O
D03361_protomer_2,CSCCNc1nc(SCCC(F)(F)F)nc2c1ncn2C1OC(COP(=O)(O)OP(=O)(O)C(Cl)(Cl)P(=O)([O-])[O-])C(O)C1O
D03361_protomer_3,CSCCNc1nc(SCCC(F)(F)F)nc2c1ncn2C1OC(COP(=O)([O-])OP(=O)([O-])C(Cl)(Cl)P(=O)([O-])[O-])C(O)C1O
D07472_protomer_3,Nc1nc2[nH]cc(CCc3ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc3)c2c(=O)[nH]1
D00236_protomer_2,O=C1C(=O)c2ccccc2C(O)=C1C1CCC(c2ccc(Cl)cc2)CC1
D00236_protomer_1,O=C1C(=O)c2ccccc2C([O-])=C1C1CCC(c2ccc(Cl)cc2)CC1
D04486_protomer_1,CCCCC[NH+](C)CCC(O)(P(=O)([O-])[O-])P(=O)([O-])[O-]
D04486_protomer_2,CCCCC[NH+](C)CCC(O)(P(=O)([O-])[O-])P(=O)([O-])O
D04486_protomer_3,CCCCCN(C)CCC(O)(P(=O)([O-])O)P(=O)(O)O
D02342_protomer_2,CC(C)NCC(O)COc1ccc(COCCOC(C)C)cc1
D02342_protomer_1,CC(C)[NH2+]CC(O)COc1ccc(COCCOC(C)C)cc1
